"Estado","Semana_Epidemiologica","Anio","Incidencia","n","fecha"
"BAJA CALIFORNIA",35,2018,2,2,"2018-08-26"
"CIUDAD DE MÉXICO",35,2018,2,2,"2018-08-26"
"DURANGO",35,2018,4,4,"2018-08-26"
"TLAXCALA",35,2018,0,0,"2018-08-26"
"ZACATECAS",35,2018,1,1,"2018-08-26"
"VERACRUZ",36,2018,612,612,"2018-09-02"
"JALISCO",36,2018,996,996,"2018-09-02"
"CHIAPAS",36,2018,439,439,"2018-09-02"
"OAXACA",36,2018,139,139,"2018-09-02"
"QUINTANA ROO",36,2018,33,33,"2018-09-02"
"SAN LUIS POTOSÍ",36,2018,93,93,"2018-09-02"
"PUEBLA",36,2018,17,17,"2018-09-02"
"MORELOS",36,2018,42,42,"2018-09-02"
"MICHOACÁN",36,2018,67,67,"2018-09-02"
"GUERRERO",36,2018,59,59,"2018-09-02"
"TABASCO",36,2018,21,21,"2018-09-02"
"HIDALGO",36,2018,47,47,"2018-09-02"
"TAMAULIPAS",36,2018,32,32,"2018-09-02"
"NAYARIT",36,2018,31,31,"2018-09-02"
"NUEVO LEÓN",36,2018,186,186,"2018-09-02"
"YUCATÁN",36,2018,26,26,"2018-09-02"
"COLIMA",36,2018,52,52,"2018-09-02"
"GUANAJUATO",36,2018,15,15,"2018-09-02"
"CAMPECHE",36,2018,12,12,"2018-09-02"
"SINALOA",36,2018,48,48,"2018-09-02"
"MÉXICO",36,2018,58,58,"2018-09-02"
"SONORA",36,2018,20,20,"2018-09-02"
"BAJA CALIFORNIA SUR",36,2018,49,49,"2018-09-02"
"COAHUILA",36,2018,12,12,"2018-09-02"
"CHIHUAHUA",36,2018,0,0,"2018-09-02"
"QUERÉTARO",36,2018,1,1,"2018-09-02"
"AGUASCALIENTES",36,2018,1,1,"2018-09-02"
"BAJA CALIFORNIA",36,2018,1,1,"2018-09-02"
"CIUDAD DE MÉXICO",36,2018,0,0,"2018-09-02"
"DURANGO",36,2018,4,4,"2018-09-02"
"TLAXCALA",36,2018,0,0,"2018-09-02"
"ZACATECAS",36,2018,1,1,"2018-09-02"
"VERACRUZ",37,2018,634,634,"2018-09-09"
"JALISCO",37,2018,669,669,"2018-09-09"
"CHIAPAS",37,2018,426,426,"2018-09-09"
"OAXACA",37,2018,289,289,"2018-09-09"
"PUEBLA",37,2018,34,34,"2018-09-09"
"QUINTANA ROO",37,2018,48,48,"2018-09-09"
"SAN LUIS POTOSÍ",37,2018,79,79,"2018-09-09"
"MORELOS",37,2018,44,44,"2018-09-09"
